year,month,date,ndvi,precipitation_mm,temp_mean_c,temp_max_c,temp_min_c
2015,1,2015-01,0.4483,5.35,21.45,28.0,16.02
2015,2,2015-02,0.3881,3.51,24.86,31.92,18.62
2015,3,2015-03,0.3612,14.07,27.32,33.43,21.86
2015,4,2015-04,0.3317,17.72,29.89,36.08,24.54
2015,5,2015-05,0.3082,25.22,32.97,39.19,27.69
2015,6,2015-06,0.373,230.61,28.9,33.22,25.58
2015,7,2015-07,0.4009,142.82,28.29,31.91,25.34
2015,8,2015-08,0.5775,183.03,26.98,30.26,24.46
2015,9,2015-09,0.6344,192.43,27.26,31.42,24.02
2015,10,2015-10,0.582,39.41,27.77,33.24,23.14
2015,11,2015-11,0.5129,19.71,25.9,31.61,21.01
2015,12,2015-12,0.4489,1.37,23.82,30.5,18.18
2016,1,2016-01,0.3909,3.07,22.94,29.87,17.03
2016,2,2016-02,0.3398,5.38,26.38,32.96,20.59
2016,3,2016-03,0.3044,8.06,29.47,35.96,23.56
2016,4,2016-04,0.2729,7.54,32.81,39.08,26.93
2016,5,2016-05,0.2674,32.38,32.91,38.71,27.89
2016,6,2016-06,0.2366,190.85,29.68,33.95,26.25
2016,7,2016-07,0.3173,390.9,26.49,29.2,24.55
2016,8,2016-08,0.5512,173.36,26.7,29.58,24.45
2016,9,2016-09,0.5821,231.24,26.16,29.33,23.8
2016,10,2016-10,0.5958,55.01,25.83,30.79,21.52
2016,11,2016-11,0.5224,5.19,23.52,30.71,17.33
2016,12,2016-12,0.4812,2.58,22.37,29.67,16.19
2017,1,2017-01,0.4314,2.86,22.36,29.22,16.46
2017,2,2017-02,0.3864,2.09,25.57,32.72,19.05
2017,3,2017-03,0.3352,3.88,28.45,35.21,22.06
2017,4,2017-04,0.2944,4.29,32.02,38.82,25.53
2017,5,2017-05,0.2892,23.28,33.37,39.19,28.14
2017,6,2017-06,0.3691,212.85,28.92,33.25,25.66
2017,7,2017-07,0.3655,209.76,27.1,30.24,24.76
2017,8,2017-08,0.5628,239.9,26.7,29.79,24.36
2017,9,2017-09,0.67,222.44,27.2,30.93,24.37
2017,10,2017-10,0.6479,113.67,26.79,31.67,22.76
2017,11,2017-11,0.5714,7.53,24.45,30.75,18.99
2017,12,2017-12,0.4973,2.73,22.5,29.34,16.84
2018,1,2018-01,0.437,2.82,22.56,29.66,16.39
2018,2,2018-02,0.3802,7.36,25.11,31.92,18.97
2018,3,2018-03,0.3356,4.58,28.92,35.56,22.77
2018,4,2018-04,0.3017,12.73,31.54,37.95,25.75
2018,5,2018-05,0.2889,29.82,33.32,39.22,28.08
2018,6,2018-06,0.3263,223.9,29.13,33.48,25.75
2018,7,2018-07,0.2605,284.03,26.45,29.05,24.49
2018,8,2018-08,0.4427,244.88,26.02,28.68,23.99
2018,9,2018-09,0.6258,88.27,26.86,30.92,23.48
2018,10,2018-10,0.5454,33.64,27.41,33.27,22.28
2018,11,2018-11,0.4891,8.74,25.47,31.85,19.89
2018,12,2018-12,0.4417,6.56,22.02,28.1,16.8
2019,1,2019-01,0.3998,5.43,21.4,28.5,15.31
2019,2,2019-02,0.3582,2.44,24.84,31.48,18.73
2019,3,2019-03,0.3082,3.92,28.72,35.36,22.52
2019,4,2019-04,0.2807,12.61,32.27,38.8,26.3
2019,5,2019-05,0.2657,14.05,33.74,39.65,28.19
2019,6,2019-06,0.2466,150.92,31.18,36.01,27.21
2019,7,2019-07,0.3471,312.07,27.34,30.47,24.98
2019,8,2019-08,0.4375,274.95,26.41,29.2,24.29
2019,9,2019-09,0.6599,318.17,26.2,29.27,24.04
2019,10,2019-10,0.6505,149.55,26.03,29.94,23.09
2019,11,2019-11,0.6366,15.27,24.95,30.14,20.69
2019,12,2019-12,0.5391,3.65,22.93,28.13,18.68
2020,1,2020-01,0.5041,4.77,22.37,28.11,17.41
2020,2,2020-02,0.4533,3.61,24.57,30.67,19.07
2020,3,2020-03,0.3912,12.58,27.47,33.44,22.04
2020,4,2020-04,0.3407,14.48,31.33,37.47,25.64
2020,5,2020-05,0.3171,26.36,33.03,38.93,27.67
2020,6,2020-06,0.4126,261.48,28.36,32.36,25.31
2020,7,2020-07,0.4764,302.43,27.44,30.9,25.01
2020,8,2020-08,0.5399,340.19,,,
2020,9,2020-09,0.6136,276.64,,,
2020,10,2020-10,0.6344,156.01,,,
2020,11,2020-11,0.5626,11.79,,,
2020,12,2020-12,0.5178,2.59,,,
2021,1,2021-01,0.4793,4.25,,,
2021,2,2021-02,0.4253,2.97,,,
2021,3,2021-03,0.3651,4.02,,,
2021,4,2021-04,0.3386,16.15,,,
2021,5,2021-05,0.3558,56.24,,,
2021,6,2021-06,0.4316,185.6,,,
2021,7,2021-07,0.3891,312.47,,,
2021,8,2021-08,0.5224,191.01,,,
2021,9,2021-09,0.6189,278.39,,,
2021,10,2021-10,0.6565,78.06,,,
2021,11,2021-11,0.5774,36.4,,,
2021,12,2021-12,0.5414,8.35,,,
2022,1,2022-01,0.4933,7.32,,,
2022,2,2022-02,0.4309,3.42,,,
2022,3,2022-03,0.3705,3.15,,,
2022,4,2022-04,0.3371,12.88,,,
2022,5,2022-05,0.3103,35.05,,,
2022,6,2022-06,0.2613,177.15,,,
2022,7,2022-07,0.3497,444.78,,,
2022,8,2022-08,0.5815,298.99,,,
2022,9,2022-09,0.6353,251.74,,,
2022,10,2022-10,0.629,138.67,,,
2022,11,2022-11,0.5628,5.45,,,
2022,12,2022-12,0.5086,5.99,,,
2023,1,2023-01,0.4804,3.56,,,
2023,2,2023-02,0.4237,2.08,,,
2023,3,2023-03,0.3842,15.36,,,
2023,4,2023-04,0.3673,28.06,,,
2023,5,2023-05,0.375,32.4,,,
2023,6,2023-06,0.3018,102.47,,,
2023,7,2023-07,0.2725,428.93,,,
2023,8,2023-08,0.5646,94.25,,,
2023,9,2023-09,0.6655,245.26,,,
2023,10,2023-10,0.6013,15.36,,,
2023,11,2023-11,0.5413,36.43,,,
2023,12,2023-12,0.5328,7.23,,,
2024,1,2024-01,0.4791,3.79,,,
2024,2,2024-02,0.4196,4.25,,,
2024,3,2024-03,0.3634,5.21,,,
2024,4,2024-04,0.3369,18.62,,,
2024,5,2024-05,0.3448,43.03,,,
2024,6,2024-06,0.3856,203.19,,,
2024,7,2024-07,0.2472,341.47,,,
2024,8,2024-08,0.5479,289.54,,,
2024,9,2024-09,0.6872,216.19,,,
2024,10,2024-10,0.6422,92.33,,,
